"","id","name_long","bev_total","bev_male","bev_female"
"260","08127032","Gerabronn, Stadt",4270,2153,2117
"261","08127043","Ilshofen, Stadt",6584,3358,3226
"262","08127046","Kirchberg an der Jagst, Stadt",4393,2346,2047
"263","08127047","Langenburg, Stadt",1831,947,884
"264","08127052","Mainhardt",6017,2981,3036
"265","08127056","Michelbach an der Bilz",3389,1676,1713
"266","08127059","Michelfeld",3799,1918,1881
"267","08127062","Oberrot",3595,1811,1784
"268","08127063","Obersontheim",5079,2596,2483
"269","08127071","Rot am See",5388,2732,2656
"270","08127073","Satteldorf",5564,2842,2722
"271","08127075","Schrozberg, Stadt",5741,2972,2769
"272","08127076","Schwäbisch Hall, Stadt",40440,19636,20804
"273","08127079","Sulzbach-Laufen",2502,1266,1236
"274","08127086","Untermünkheim",3007,1504,1503
"275","08127089","Vellberg, Stadt",4446,2214,2232
"276","08127091","Wallhausen",3716,1886,1830
"277","08127099","Wolpertshausen",2249,1169,1080
"278","08127100","Rosengarten",5060,2481,2579
"279","08127101","Kreßberg",3968,2022,1946
"280","08127102","Fichtenau",4591,2329,2262
"281","08127103","Frankenhardt",4843,2473,2370
"282","08127104","Stimpfach",3145,1663,1482
"283","08128","Main-Tauber-Kreis, Landkreis",132321,65923,66398
"284","08128006","Assamstadt",2262,1128,1134
"285","08128007","Bad Mergentheim, Stadt",23704,11563,12141
"286","08128014","Boxberg, Stadt",6664,3399,3265
"287","08128020","Creglingen, Stadt",4694,2391,2303
"288","08128039","Freudenberg, Stadt",3774,1889,1885
"289","08128045","Großrinderfeld",3985,2020,1965
"290","08128047","Grünsfeld, Stadt",3651,1851,1800
"291","08128058","Igersheim",5552,2736,2816
"292","08128061","Königheim",2997,1517,1480
"293","08128064","Külsheim, Stadt",5122,2632,2490
"294","08128082","Niederstetten, Stadt",4834,2458,2376
"295","08128115","Tauberbischofsheim, Stadt",13231,6546,6685
"296","08128126","Weikersheim, Stadt",7333,3634,3699
"297","08128128","Werbach",3320,1654,1666
"298","08128131","Wertheim, Stadt",22780,11258,11522
"299","08128137","Wittighausen",1632,842,790
"300","08128138","Ahorn",2244,1168,1076
"301","08128139","Lauda-Königshofen, Stadt",14542,7237,7305
"302","08135","Heidenheim, Landkreis",132472,66092,66380
"303","08135010","Dischingen",4337,2235,2102
"304","08135015","Gerstetten",11599,5743,5856
"305","08135016","Giengen an der Brenz, Stadt",19666,9813,9853
"306","08135019","Heidenheim an der Brenz, Stadt",49526,24766,24760
"307","08135020","Herbrechtingen, Stadt",13051,6414,6637
"308","08135021","Hermaringen",2173,1137,1036
"309","08135025","Königsbronn",7134,3536,3598
"310","08135026","Nattheim",6162,3078,3084
"311","08135027","Niederstotzingen, Stadt",4693,2360,2333
"312","08135031","Sontheim an der Brenz",5508,2760,2748
"313","08135032","Steinheim am Albuch",8623,4250,4373
"314","08136","Ostalbkreis, Landkreis",314002,156480,157522
"315","08136002","Abtsgmünd",7417,3714,3703
"316","08136003","Adelmannsfelden",1688,857,831
"317","08136007","Bartholomä",2030,1004,1026
"318","08136009","Böbingen an der Rems",4565,2293,2272
"319","08136010","Bopfingen, Stadt",11727,5801,5926
"320","08136015","Durlangen",2856,1484,1372
"321","08136018","Ellenberg",1734,866,868
"322","08136019","Ellwangen (Jagst), Stadt",24549,12380,12169
"323","08136020","Eschach",1770,872,898
"324","08136021","Essingen",6352,3157,3195
"325","08136024","Göggingen",2479,1219,1260
"326","08136027","Gschwend",4888,2441,2447
"327","08136028","Heubach, Stadt",9774,4878,4896
"328","08136029","Heuchlingen",1858,948,910
"329","08136033","Hüttlingen",6099,3006,3093
"330","08136034","Iggingen",2589,1297,1292
"331","08136035","Jagstzell",2319,1182,1137
"332","08136037","Kirchheim am Ries",1820,931,889
"333","08136038","Lauchheim, Stadt",4780,2426,2354
"334","08136040","Leinzell",2041,1032,1009
"335","08136042","Lorch, Stadt",10885,5519,5366
"336","08136043","Mögglingen",4265,2120,2145
"337","08136044","Mutlangen",6664,3263,3401
"338","08136045","Neresheim, Stadt",7945,4092,3853
"339","08136046","Neuler",3177,1596,1581
"340","08136049","Obergröningen",447,233,214
"341","08136050","Oberkochen, Stadt",7895,3927,3968
"342","08136060","Rosenberg",2644,1360,1284
"343","08136061","Ruppertshofen",1845,955,890
"344","08136062","Schechingen",2268,1124,1144
"345","08136065","Schwäbisch Gmünd, Stadt",61186,29914,31272
"346","08136066","Spraitbach",3328,1644,1684
"347","08136068","Stödtlen",1889,935,954
"348","08136070","Täferrot",1005,508,497
"349","08136071","Tannhausen",1808,890,918
"350","08136075","Unterschneidheim",4740,2469,2271
"351","08136079","Waldstetten",7100,3478,3622
"352","08136082","Westhausen",6025,3037,2988
"353","08136084","Wört",1463,764,699
"354","08136087","Riesbürg",2314,1171,1143
"355","08136088","Aalen, Stadt",68456,33978,34478
"356","08136089","Rainau",3318,1715,1603
"357","082","Karlsruhe, Regierungsbezirk",2805129,1394621,1410508
"358","08211000","Baden-Baden, Stadtkreis",55123,26442,28681
"359","08212000","Karlsruhe, Stadtkreis",313092,160429,152663
"360","08215","Karlsruhe, Landkreis",444232,221339,222893
"361","08215007","Bretten, Stadt",29412,14648,14764
"362","08215009","Bruchsal, Stadt",44644,22430,22214
"363","08215017","Ettlingen, Stadt",39339,19186,20153
"364","08215021","Forst",8048,4032,4016
"365","08215025","Gondelsheim",3945,1987,1958
"366","08215029","Hambrücken",5527,2758,2769
"367","08215039","Kronau",5835,2904,2931
"368","08215040","Kürnbach",2335,1186,1149
"369","08215046","Malsch",14482,7367,7115
"370","08215047","Marxzell",4979,2503,2476
"371","08215059","Oberderdingen",10948,5397,5551
"372","08215064","Östringen, Stadt",13015,6645,6370
"373","08215066","Philippsburg, Stadt",13615,6975,6640
"374","08215082","Sulzfeld",4806,2424,2382
"375","08215084","Ubstadt-Weiher",13033,6508,6525
"376","08215089","Walzbachtal",9739,4833,4906
"377","08215090","Weingarten (Baden)",10482,5191,5291
"378","08215094","Zaisenhausen",1753,895,858
"379","08215096","Karlsbad",15771,7693,8078
"380","08215097","Kraichtal, Stadt",14627,7326,7301
"381","08215099","Graben-Neudorf",12184,6070,6114
"382","08215100","Bad Schönborn",13064,6595,6469
"383","08215101","Pfinztal",18407,9154,9253
"384","08215102","Eggenstein-Leopoldshafen",16625,8304,8321
"385","08215103","Karlsdorf-Neuthard",10705,5448,5257
"386","08215105","Linkenheim-Hochstetten",11796,5782,6014
"387","08215106","Waghäusel, Stadt",20935,10400,10535
"388","08215107","Oberhausen-Rheinhausen",9593,4804,4789
"389","08215108","Rheinstetten, Stadt",20340,9933,10407
"390","08215109","Stutensee, Stadt",24541,12128,12413
"391","08215110","Waldbronn",13151,6520,6631
"392","08215111","Dettenheim",6556,3313,3243
"393","08216","Rastatt, Landkreis",231018,114797,116221
"394","08216002","Au am Rhein",3336,1655,1681
"395","08216005","Bietigheim",6374,3179,3195
"396","08216006","Bischweier",2992,1515,1477
"397","08216007","Bühl, Stadt",28900,14173,14727
"398","08216008","Bühlertal",8105,4130,3975
"399","08216009","Durmersheim",12160,5993,6167
"400","08216012","Elchesheim-Illingen",3246,1628,1618
"401","08216013","Forbach",4736,2406,2330
"402","08216015","Gaggenau, Stadt",29777,14702,15075
"403","08216017","Gernsbach, Stadt",14296,7019,7277
"404","08216022","Hügelsheim",5115,2656,2459
"405","08216023","Iffezheim",5163,2585,2578
"406","08216024","Kuppenheim, Stadt",8330,4059,4271
"407","08216028","Lichtenau, Stadt",4975,2496,2479
"408","08216029","Loffenau",2523,1247,1276
"409","08216033","Muggensturm",6195,3057,3138
"410","08216039","Ötigheim",4884,2436,2448
"411","08216041","Ottersweier",6340,3206,3134
"412","08216043","Rastatt, Stadt",49783,24745,25038
"413","08216049","Sinzheim",11351,5583,5768
"414","08216052","Steinmauern",3089,1573,1516
"415","08216059","Weisenbach",2450,1244,1206
"416","08216063","Rheinmünster",6898,3510,3388
"417","08221000","Heidelberg, Stadtkreis",160355,77112,83243
"418","08222000","Mannheim, Stadtkreis",309370,154273,155097
"419","08225","Neckar-Odenwald-Kreis, Landkreis",143535,72057,71478
"420","08225001","Adelsheim, Stadt",4973,2617,2356
"421","08225002","Aglasterhausen",4902,2413,2489
"422","08225009","Billigheim",5903,3002,2901
"423","08225010","Binau",1426,744,682
"424","08225014","Buchen (Odenwald), Stadt",17796,8732,9064
"425","08225024","Fahrenbach",2766,1378,1388
"426","08225032","Hardheim",6682,3341,3341
"427","08225033","Haßmersheim",4986,2499,2487
"428","08225039","Höpfingen",2961,1472,1489
"429","08225042","Hüffenhardt",2091,1045,1046
"430","08225052","Limbach",4432,2241,2191
"431","08225058","Mosbach, Stadt",23398,11707,11691
"432","08225060","Mudau",4929,2534,2395
"433","08225064","Neckargerach",2308,1149,1159
"434","08225067","Neckarzimmern",1512,737,775
"435","08225068","Neunkirchen",1867,909,958
"436","08225074","Obrigheim",5307,2618,2689
"437","08225075","Osterburken, Stadt",6507,3278,3229
"438","08225082","Rosenberg",2076,1050,1026
"439","08225091","Seckach",4143,2126,2017
"440","08225109","Walldürn, Stadt",11518,5868,5650
"441","08225113","Zwingenberg",694,361,333
"442","08225114","Ravenstein, Stadt",2868,1493,1375
"443","08225115","Schefflenz",3922,1971,1951
"444","08225116","Schwarzach",2902,1517,1385
"445","08225117","Elztal",5861,2899,2962
"446","08225118","Waldbrunn",4805,2356,2449
"447","08226","Rhein-Neckar-Kreis, Landkreis",547625,269317,278308
"448","08226003","Altlußheim",6133,3051,3082
"449","08226006","Bammental",6561,3157,3404
"450","08226009","Brühl",14288,6823,7465
"451","08226010","Dielheim",9027,4515,4512
"452","08226012","Dossenheim",12515,6003,6512
"453","08226013","Eberbach, Stadt",14460,6939,7521
"454","08226017","Epfenbach",2427,1204,1223
"455","08226018","Eppelheim, Stadt",15177,7483,7694
"456","08226020","Eschelbronn",2704,1391,1313
"457","08226022","Gaiberg",2383,1161,1222
"458","08226027","Heddesbach",450,232,218
"459","08226028","Heddesheim",11569,5637,5932
"460","08226029","Heiligkreuzsteinach",2616,1291,1325
"461","08226031","Hemsbach, Stadt",11968,5906,6062
"462","08226032","Hockenheim, Stadt",21779,10880,10899
